Category,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2024
"Gạo (Kg)",12,12,11.4,11,9.7,9.6,9,8.8,8.1,7.61,6.93,6.45
"Lương thực khác (quy gạo) (Kg)",1.4,1,1,0.9,1.1,1,1,1.1,1.25,1.3,1.23,1.26
"Thịt các loại (Kg)",1.3,1.4,1.5,1.4,1.8,1.8,1.9,2.1,2.18,2.32,2.59,2.6
"Mỡ, dầu ăn (Kg)",0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.34,0.35,0.33,0.23
"Tôm, cá (Kg)",1.1,1.4,1.5,1.4,1.4,1.5,1.4,1.5,1.25,1.15,1.13,1.16
"Trứng gia cầm (Quả)",2.2,2.4,2.5,2.9,3.6,3.6,3.7,4.2,4.01,4.64,5.07,5.1
"Đậu phụ (Kg)",0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.44,0.44,0.43,0.43
"Đường, mật, sữa, bánh, mứt kẹo (Kg)",0.4,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.63,0.6,0.6,0.55
"Nước mắm, nước chấm (Lít)",0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.28,0.28,0.29,0.27
"Chè, cà phê (Kg)",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.08
"Rượu, bia (Lít)",0.6,0.7,0.7,0.7,0.9,0.9,0.9,1,0.92,1.31,1.16,1.09
"Đồ uống khác (Lít)",0.2,0.2,0.3,0.6,0.7,0.6,1.2,1.3,1.77,2.34,2.1,1.9
"Đỗ các loại (Kg)",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.07,0.06,0.06,0.06
"Lạc, vừng (Kg)",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.06,0.05,0.05,0.05
"Rau (Kg)",2.4,2.5,2.4,2.3,2.3,2.1,1.9,1.8,1.79,1.74,1.19,1.2
"Quả (Kg)",0.8,0.9,0.9,0.9,1,0.9,0.9,0.9,1.01,1.08,1.18,1.19
