Commodity,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
     Food,113.0008333,122.9025,103.4683333,97.8875,103.8058333,98.94166667,101.6616667,101.6191667,103.7083333,100.4575,104.5291667,105.0058333,102.4383333,106.9258333,112.2716667
     Foodstuffs,110.2458333,129.5466667,108.515,103.1241667,104.1608333,102.0391667,102.7966667,97.42333333,103.5266667,105.1191667,112.355,99.46166667,101.6516667,102.3408333,102.71
 Gold price index,136.84,139.2725,108.2316667,89.15083333,88.82333333,95.30666667,106.1933333,103.7883333,102.4141667,107.88,128.1325,109.1483333,105.7925,104.2541667,128.8316667
 USD price index,107.6625,108.5033333,100.1866667,100.6633333,100.5608333,103.1775,102.2516667,101.4008333,101.2991667,101.0033333,99.97833333,99.0325,102.13,101.8683333,104.9291667
Beverage  and  cigarette,108.22,111.7041667,106.5933333,104.205,103.7316667,102.1541667,102.21,101.5233333,101.4183333,101.9925,101.5025,101.85,103.1516667,103.2875,102.4183333
Consumer price index,109.1916667,118.6358333,109.2833333,106.6016667,104.0983333,100.6333333,102.665,103.5325,103.5408333,102.795,103.2408333,101.8416667,103.1525,103.2575,103.6283333
Culture. entertainments and tourism,103.6008333,107.5716667,105.645,103.9025,102.4083333,101.635,101.5208333,100.86,101.3083333,101.83,98.7725,99.0925,103.12,102.5558333,101.9666667
Education,110.5083333,123.1975,117.0691667,114.18,110.1816667,106.4841667,106.3533333,109.1091667,106.3125,105.66,104.0858333,101.9016667,101.8608333,107.4533333,105.4525
Food and foodstuffs,110.735,126.6425,108.3883333,102.6908333,104.0083333,101.4825,102.3625,98.92833333,103.2533333,104.0791667,110.0216667,100.7283333,102.5691667,103.4475,104.0358333
Garment. hat. footwear,106.9183333,112.1183333,109.9908333,107.8783333,104.3275,103.2883333,102.1116667,101.0716667,101.5,101.735,100.7816667,100.8833333,101.6291667,102.2066667,101.3958333
Household equipment and goods,105.3566667,108.8358333,107.61,105.0133333,102.9591667,102.0183333,101.1283333,101.015,101.2433333,101.3533333,101.1391667,100.6591667,102.0341667,102.0891667,101.2708333
Housing and construction materials,114.6875,119.6991667,110.7466667,104.7291667,103.7658333,98.38583333,102.5,104.2875,103.3241667,103.0408333,101.8141667,101.7766667,103.13,106.5858333,105.2058333
Medicine and health care services,103.4441667,105.6508333,117.4316667,146.6258333,105.4166667,102.135,129.51,142.5741667,111.2483333,103.9075,102.1608333,100.205,100.4041667,101.2466667,107.1666667
Other consumer goods & services,111.685,112.0041667,110.685,107.0191667,104.0025,102.885,102.1725,102.1383333,102.4391667,102.675,102.8941667,101.5041667,102.3658333,104.6566667,106.5608333
Post and Communication,95.4425,95.96083333,98.895,99.51416667,99.6075,100.3291667,99.34416667,99.39916667,99.34583333,99.32333333,99.42416667,99.24916667,99.62916667,99.195,98.98083333
Transport,112.1575,116.1516667,108.3383333,104.5108333,101.6533333,88.1,92.74666667,106.8516667,106.4233333,98.9875,89.2225,111.015,111.5125,97.65,100.8191667
